"	Email",Address,Avatar,Time on App,Time on Website,Length of Membership,Yearly Amount Spent,City,State,ZIP Code,Address Type,avgtime,Estimated total spending
mstephenson@fernandez.com,"835 Frank TunnelWrightmouth, MI 82180-9605",Violet,12.66,39.58,4.08,587.95,Frank TunnelWrightmouth,MI,82180-9605,Standard,26.12,2398.836
hduke@hotmail.com,"4547 Archer CommonDiazchester, CA 06566-8576",DarkGreen,11.11,37.27,2.66,392.2,Archer CommonDiazchester,CA,06566-8576,Standard,24.19,1043.252
pallen@yahoo.com,"24645 Valerie Unions Suite 582Cobbborough, DC 99414-7564",Bisque,11.33,37.11,4.1,487.55,Cobbborough,DC,99414-7564,Standard,24.22,1998.955
riverarebecca@gmail.com,"1414 David ThroughwayPort Jason, OH 22070-1220",SaddleBrown,13.72,36.72,3.12,581.85,David ThroughwayPort Jason,OH,22070-1220,Standard,25.22,1815.372
mstephens@davidson-herman.com,"14023 Rodriguez PassagePort Jacobville, PR 37242-1057",MediumAquaMarine,12.8,37.54,4.45,599.41,Rodriguez PassagePort Jacobville,PR,37242-1057,Standard,25.17,2667.3745
alvareznancy@lucas.biz,"645 Martha Park Apt. 611Jeffreychester, MN 67218-7250",FloralWhite,12.03,34.48,5.49,637.1,Jeffreychester,MN,67218-7250,Standard,23.255,3497.679
katherine20@yahoo.com,"68388 Reyes Lights Suite 692Josephbury, WV 92213-0247",DarkSlateBlue,11.37,36.68,4.69,521.57,Josephbury,WV,92213-0247,Standard,24.025,2446.1633
awatkins@yahoo.com,Unit 6538 Box 8980DPO AP 09026-4941,Aqua,12.35,37.37,4.43,549.9,Classified,,,Military,24.86,2436.057
vchurch@walter-martinez.com,"860 Lee KeyWest Debra, SD 97450-0495",Salmon,13.39,37.53,3.27,570.2,Lee KeyWest Debra,SD,97450-0495,Standard,25.46,1864.554
bonnie69@lin.biz,"PSC 2734, Box 5255APO AA 98456-7482",Brown,11.81,37.15,3.2,427.2,Classified,,,Military,24.48,1367.04
andrew06@peterson.com,"26104 Alexander GrovesAlexandriaport, WY 28244-9149",Tomato,13.34,37.23,2.48,492.61,Alexander GrovesAlexandriaport,WY,28244-9149,Standard,25.285,1221.6728
ryanwerner@freeman.biz,Unit 2413 Box 0347DPO AA 07580-2652,Tomato,11.58,37.09,3.71,522.34,Classified,,,Military,24.335,1937.8814
knelson@gmail.com,"6705 Miller Orchard Suite 186Lake Shanestad, MO 75696-5051",RoyalBlue,10.96,37.42,4.05,408.64,Lake Shanestad,MO,75696-5051,Standard,24.19,1654.992
wrightpeter@yahoo.com,"05302 Dunlap FerryNew Stephaniehaven, MP 42268",Bisque,12.96,36.14,3.92,573.42,Dunlap FerryNew Stephaniehaven,MP,42268,Standard,24.55,2247.8064
taylormason@gmail.com,"7773 Powell Springs Suite 190Samanthaland, ND 44358",DarkBlue,13.15,36.62,2.49,470.45,Samanthaland,ND,44358,Standard,24.885,1171.4205
jstark@anderson.com,"49558 Ramirez Road Suite 399Phillipstad, OH 35641-3238",Peru,12.64,36.21,3.36,461.78,Phillipstad,OH,35641-3238,Standard,24.425,1551.5808
wjennings@gmail.com,"6362 Wilson MountainJohnsonfurt, GA 15169",PowderBlue,11.73,34.89,3.14,457.85,Wilson MountainJohnsonfurt,GA,15169,Standard,23.31,1437.649
rebecca45@hale-bauer.biz,"8982 Burton RowWilsonton, PW 88606",OliveDrab,12.01,38.39,2.42,407.7,Burton RowWilsonton,PW,88606,Standard,25.2,986.634
alejandro75@hotmail.com,"64475 Andre Club Apt. 795Port Dannytown, PW 63227",Cyan,14.72,38.24,1.52,452.32,Port Dannytown,PW,63227,Standard,26.48,687.5264
samuel46@love-west.net,"544 Alexander Heights Suite 768North Johnview, MT 57912",LightSeaGreen,13.99,37.19,4.06,605.06,North Johnview,MT,57912,Standard,25.59,2456.5436
megan33@gmail.com,"84426 Julia VistaNorth Teresa, KY 50756",PeachPuff,11.37,37.61,4.6,534.71,Julia VistaNorth Teresa,KY,50756,Standard,24.49,2459.666
agolden@yahoo.com,"PSC 2490, Box 2120APO AE 15445-2876",Black,12.88,37.44,1.56,419.94,Classified,,,Military,25.16,655.1064
vstafford@hotmail.com,"PSC 5723, Box 8159APO AA 74738",Olive,13.38,38.73,2.25,436.52,Classified,,,Military,26.055,982.17
denise22@hernandez-townsend.com,USNS CardenasFPO AA 85439-9449,Silver,11.66,36.77,3.92,519.34,Classified,,,Military,24.215,2035.8128
youngbarbara@yahoo.com,"019 Elliott Tunnel Suite 190Nicholsbury, WV 60804-4440",Wheat,12.89,37.64,5.71,700.92,Nicholsbury,WV,60804-4440,Standard,25.265,4002.2532
william25@mcconnell.com,"9495 Mary Fall Apt. 777Glassport, ND 17957-5596",Teal,11.77,37.74,2.72,423.18,Glassport,ND,17957-5596,Standard,24.755,1151.0496
ijones@schaefer-carr.net,"657 Judith CrossroadHancockchester, VI 75658-5788",Linen,12.78,36.43,4.65,619.9,Judith CrossroadHancockchester,VI,75658-5788,Standard,24.605,2882.535
heatherhall@yahoo.com,"8522 Regina Port Suite 782Port Kaitlin, TX 50501-7264",MediumSlateBlue,13.01,37.85,3,486.84,Port Kaitlin,TX,50501-7264,Standard,25.43,1460.52
tinasmith@martinez.info,"40000 Ann Port Suite 474Youngberg, MS 03651",LemonChiffon,11.98,35.29,3.92,529.54,Youngberg,MS,3651,Standard,23.635,2075.7968
chasejennifer@hotmail.com,"9507 Robert Prairie Apt. 601East Crystalview, SC 56814",DarkOrchid,11.97,37.28,4.74,554.72,East Crystalview,SC,56814,Standard,24.625,2629.3728
jenniferbarnett@gmail.com,"0772 Michael Isle Suite 617Meyerstown, WA 45449-6768",SeaGreen,12.31,36.16,3.06,497.59,Meyerstown,WA,45449-6768,Standard,24.235,1522.6254
jared39@hotmail.com,"739 David Isle Suite 818Chandlertown, DC 34587",SteelBlue,10.87,35.62,3.47,447.69,Chandlertown,DC,34587,Standard,23.245,1553.4843
briancarlson@page-fleming.com,USCGC GillFPO AA 26496,DarkMagenta,13.39,35.69,4.34,588.71,Classified,,,Military,24.54,2555.0014
joshuaodom@gmail.com,"5277 Patel BrookEast Audrey, NJ 19075",DarkGoldenRod,13.1,38.88,2.82,491.07,Patel BrookEast Audrey,NJ,19075,Standard,25.99,1384.8174
vickie90@lee-wilson.com,"9135 Rodriguez DamRamirezberg, MS 77223",DarkSeaGreen,11.63,35.37,4.12,507.44,Rodriguez DamRamirezberg,MS,77223,Standard,23.5,2090.6528
duane56@hotmail.com,"24373 Mcgee Drive Apt. 990New Mariahaven, NH 14470",Gainsboro,11.94,38.77,3.65,521.88,New Mariahaven,NH,14470,Standard,25.355,1904.862
enash@gmail.com,"997 Campbell Flat Suite 970East Amanda, PW 22048",HotPink,11.76,36.77,1.85,347.78,East Amanda,PW,22048,Standard,24.265,643.393
sandraharrison@bailey-gordon.net,"7835 Rogers RoadsEast Amberhaven, MI 70835-2286",LightSeaGreen,11.98,37.04,3.45,490.74,Rogers RoadsEast Amberhaven,MI,70835-2286,Standard,24.51,1693.053
cunninghamwilliam@hotmail.com,"4589 Dan FordsBeasleyburgh, ME 96590-8272",HoneyDew,9.95,37.39,4.65,478.17,Dan FordsBeasleyburgh,ME,96590-8272,Standard,23.67,2223.4905
teresaallen@hill-leach.info,"1958 Robert Bridge Apt. 250Malloryland, ID 03393-5336",WhiteSmoke,12.49,36.37,4.22,537.85,Malloryland,ID,03393-5336,Standard,24.43,2269.727
rhonda96@little.org,"2977 Perez RowLake Jack, TN 45336-9436",GhostWhite,11.73,37.53,4.67,532.75,Perez RowLake Jack,TN,45336-9436,Standard,24.63,2487.9425
